,R,G,B
313,144.8168,93.93440000000001,32.5096
314,145.2288,94.17,32.452
315,146.15560000000002,94.39880000000001,31.7372
316,146.57,94.5732,31.5468
317,146.8984,95.1036,32.1036
318,147.2192,94.59440000000001,31.585600000000003
319,146.2868,94.12920000000001,30.361600000000003
320,146.4956,93.55080000000001,29.456400000000002
321,145.44840000000002,93.16080000000001,29.094
322,144.6892,92.67240000000001,29.442800000000002
323,144.1476,92.2608,27.999200000000002
324,143.2348,91.8224,28.0164
325,143.8564,91.998,28.4644
326,143.84720000000002,92.67360000000001,30.2616
327,144.3812,92.85040000000001,29.8884
328,144.2132,93.7384,30.648000000000003
329,145.0732,94.1888,30.926000000000002
330,144.6852,94.3572,29.424000000000003
331,144.4728,94.83040000000001,29.5116
332,145.0292,94.8144,30.224
333,145.6416,95.0604,33.7536
334,147.4556,96.3472,31.916
335,147.8808,96.952,32.218
336,148.8844,97.52600000000001,33.7072
337,148.5824,97.8276,32.9092
338,149.9256,98.84320000000001,34.0888
339,149.62800000000001,98.974,34.754400000000004
340,149.9644,99.73320000000001,34.9384
341,150.0428,99.7192,35.2736
342,150.1,99.9124,35.0632
343,150.0064,100.14240000000001,35.4292
344,149.98520000000002,100.0916,34.659600000000005
345,149.6672,100.14760000000001,34.9932
346,149.4096,99.864,35.9808
347,149.7336,99.6204,35.7156
348,149.6856,99.62320000000001,36.1592
349,149.2812,99.6464,37.037600000000005
350,149.29240000000001,99.6344,36.8492
351,149.0188,99.5584,36.6756
352,149.116,99.77560000000001,37.153600000000004
353,149.78560000000002,99.97680000000001,36.9668
354,149.19480000000001,100.4572,37.0268
355,151.1088,100.7016,36.8708
356,151.0216,101.3888,37.1804
357,151.0436,101.506,36.3832
358,151.6968,101.292,36.870400000000004
359,151.3476,101.55640000000001,36.5304
360,151.6844,101.3752,35.7568
361,151.4112,101.822,35.56
362,151.60160000000002,101.7836,36.7352
363,152.0224,102.20920000000001,36.9148
364,152.2252,102.738,36.6532
365,153.1432,102.836,36.318000000000005
366,153.30440000000002,102.71520000000001,36.464800000000004
367,153.3432,102.6228,35.3932
368,152.7664,102.4116,35.786
369,151.9976,101.9548,35.1092
370,152.3968,101.8532,35.437200000000004
371,152.3632,102.3764,36.34
372,153.0008,103.1564,36.4208
373,152.9204,103.3724,36.9412
374,152.42520000000002,102.8108,36.5416
375,152.1904,102.03800000000001,35.272800000000004
376,151.9316,101.2808,35.1944
377,151.598,101.09960000000001,34.6156
378,151.9348,100.7856,34.5152
379,151.7732,100.0284,34.6252
380,151.2012,99.90960000000001,35.0108
381,151.3108,99.22240000000001,33.706
382,151.0908,98.608,34.354
383,150.84040000000002,98.19,34.5092
384,150.93640000000002,97.71560000000001,33.403600000000004
385,150.03640000000001,97.6448,34.356
386,150.086,97.2124,35.2944
387,148.90560000000002,96.8596,34.74
388,147.984,96.56,35.016400000000004
389,147.51600000000002,96.37960000000001,34.9452
390,147.7504,96.5004,35.3932
391,147.7108,97.10000000000001,35.978
392,148.066,97.28960000000001,34.7552
393,147.6844,97.7292,35.8908
394,148.2268,97.9484,35.955200000000005
395,148.1972,98.4144,35.4044
396,148.47920000000002,98.5404,35.3844
397,148.4952,98.8876,36.162800000000004
398,148.7144,99.2856,35.410000000000004
399,149.12120000000002,99.73440000000001,35.974000000000004
400,149.20440000000002,100.18400000000001,35.39
401,149.63320000000002,100.48400000000001,35.536
402,149.5944,100.694,35.522400000000005
403,149.73760000000001,101.14880000000001,35.4408
404,149.74880000000002,101.5064,35.4608
405,150.6232,101.90440000000001,36.568400000000004
406,150.7912,102.66120000000001,36.452400000000004
407,151.3588,102.958,36.2668
408,151.5736,103.0372,37.1424
409,151.6708,102.9732,36.27
410,150.7872,102.8204,36.5516
411,150.8916,102.8048,36.5636
412,151.0332,102.6768,36.2852
413,151.1528,103.18440000000001,36.7412
414,151.5344,103.25200000000001,36.9032
415,151.2772,103.45880000000001,38.5156
416,151.6,103.56920000000001,37.656800000000004
417,151.49720000000002,103.38600000000001,37.216
418,150.9516,103.28200000000001,37.65
419,151.0452,102.7424,38.3236
420,150.9576,103.0788,38.4284
421,151.0592,103.2384,38.9668
422,150.74360000000001,103.0556,38.7668
423,149.9824,102.6776,40.4132
424,149.8956,102.4868,39.802800000000005
425,149.2356,102.1824,39.7892
426,149.1072,101.85560000000001,39.596000000000004
427,148.5608,101.61120000000001,39.8692
428,148.11960000000002,101.3764,40.1268
429,148.2444,101.3144,39.9084
430,147.6628,101.05640000000001,40.342800000000004
431,147.6628,101.05640000000001,40.342800000000004
432,147.7408,101.0252,39.830400000000004
433,147.7016,101.0004,39.922000000000004
434,147.85080000000002,100.73920000000001,40.6796
435,147.2884,100.92320000000001,40.080000000000005
436,147.24280000000002,100.6168,41.2132
437,147.18720000000002,100.3764,40.0384
438,146.7364,100.4884,39.638000000000005
439,146.348,99.84,39.8756
